feature,atual,Bugingaâ€™s
e45f01963c21,0.527901832067033,1.062462
e45f01359a20,-2.06935761924567,1.731927
dca6326b9ca8,0.398687946551803,-1.429355
dca6326b9c99,0.122379947205961,0.821324
e45f01ad569d,-1.35223059868005,-1.617993
gru03,-0.550636928618668,-1.907636
gru05,1.47747515079675,-2.090998
rnp_rj,-1.5298204258508,0.43342
rnp_sp,-0.599716406560373,0.776486
throughput_download,0.378222627115193,0.002774
throughput_upload,-0.199004693146175,0.002323
rtt_download,-0.553665269216017,-0.153451
rtt_upload,0.148685407347831,0.151703
